STIDSTD,Gender,ESCS,MATH_avg_score,READ_avg_score,SCIE_avg_score,Total_Avg
174,Male,0.64,682.82444,608.0165,597.1093,629.3167467
175,Male,1.17,622.45676,544.58264,570.62662,579.2220067
176,Female,-0.04,588.57296,587.47568,548.24692,574.7651867
177,Male,-0.03,603.37278,545.3044,545.72918,564.80212
178,Male,0.74,754.253,635.52324,671.70832,687.16152
179,Female,0.97,653.38058,648.55816,573.70386,625.2142
180,Male,0,652.44586,612.90838,578.45954,614.6045933
181,Female,0.81,688.43278,607.73062,564.37896,620.1807867
182,Female,0.34,614.04426,612.97308,601.21222,609.4098533
183,Male,0.33,671.76352,644.26444,633.84928,649.95908
184,Male,0.96,677.21608,616.67752,643.54718,645.8135933
185,Female,-0.27,596.9076,638.94702,564.00596,599.9535267
186,Male,0.62,749.03412,701.4431,675.71802,708.7317467
187,Male,0.79,757.68032,721.73232,676.09102,718.50122
188,Female,-0.87,700.58422,653.88004,632.91684,662.4603667
189,Male,0.62,667.86884,618.6824,611.28312,632.6114533
190,Male,1.13,771.77908,698.55612,683.73742,718.0242067
191,Male,0.45,746.61942,626.06026,656.41552,676.3650667
192,Female,-0.01,657.66474,664.68262,600.5595,640.9689533
193,Female,0.37,651.12166,619.80412,589.46286,620.1295467
194,Female,0.68,727.69124,621.94876,651.93958,667.1931933
195,Female,0.64,666.8562,636.56408,625.73666,643.0523133
196,Female,0.71,689.2117,696.7728,650.72734,678.9039467
197,Female,1.35,680.40972,664.12664,621.91346,655.4832733
198,Male,-0.04,796.39352,663.75168,671.05558,710.40026
199,Male,1.05,696.06638,619.08334,601.58524,638.9116533
200,Male,0.77,764.14552,679.55,683.45764,709.0510533
201,Female,-0.36,762.97712,705.2719,650.8206,706.35654
202,Female,0.37,687.18648,661.2671,632.73032,660.3946333
203,Male,0.95,736.80478,693.66424,682.43192,704.3003133
204,Male,0.77,649.71958,580.34938,579.5785,603.21582
205,Female,0.44,619.26312,604.39452,537.33682,586.9981533
206,Male,0.59,456.69888,473.53032,492.67064,474.2999467
207,Male,0.64,551.96292,459.33588,506.65796,505.9855867
208,Male,-1.23,467.21452,433.43304,458.63484,453.0941333
209,Male,-1.15,399.05746,405.84612,424.59902,409.8342
210,Male,-1.59,651.43324,617.23888,640.74974,636.4739533
211,Female,0.3,510.2898,533.7009,532.95414,525.64828
212,Male,-1.11,549.70402,478.02122,515.79634,514.5071933
213,Male,0.42,484.66272,465.1901,492.0179,480.6235733
214,Male,-0.48,576.65524,537.84632,563.35322,559.2849267
215,Female,-1.45,600.64652,569.68318,593.0996,587.8097667
216,Female,0.12,556.55864,542.67662,575.00932,558.0815267
217,Male,-0.29,638.2692,589.33118,631.42484,619.6750733
218,Female,0.19,710.78828,661.58484,679.5412,683.97144
219,Male,-1.69,619.41892,584.35912,606.62066,603.4662333
220,Male,-0.73,465.18928,473.3699,495.2816,477.9469267
221,Female,0.94,706.19256,644.34832,685.50914,678.68334
222,Female,1.21,669.5046,625.52318,622.28648,639.1047533
223,Male,0.45,579.30362,533.596,565.31146,559.4036933
224,Male,-0.16,599.24442,528.30316,575.56884,567.7054733
225,Male,-1.18,596.44024,551.80012,550.2984,566.1795867
226,Female,-0.88,586.23618,577.7057,558.97052,574.3041333
227,Male,-0.86,596.67394,511.14152,541.90602,549.90716
228,Male,-0.05,708.52938,605.93146,643.92018,652.7936733
229,Male,-0.66,653.3806,600.31784,610.72358,621.4740067
